uf,coduf,codmun,cidade,pop
CE,23,00101,Abaiara,11965
CE,23,00150,Acarape,15140
CE,23,00200,Acaraú,63556
CE,23,00309,Acopiara,54687
CE,23,00408,Aiuaba,17584
CE,23,00507,Alcântaras,11846
CE,23,00606,Altaneira,7712
CE,23,00705,Alto Santo,16077
CE,23,00754,Amontada,44195
CE,23,00804,Antonina do Norte,7402
CE,23,00903,Apuiarés,14742
CE,23,01000,Aquiraz,81581
CE,23,01109,Aracati,75392
CE,23,01208,Aracoiaba,26600
CE,23,01257,Ararendá,10983
CE,23,01307,Araripe,21707
CE,23,01406,Aratuba,11759
CE,23,01505,Arneiroz,7848
CE,23,01604,Assaré,23537
CE,23,01703,Aurora,24567
CE,23,01802,Baixio,6318
CE,23,01851,Banabuiú,18313
CE,23,01901,Barbalha,61662
CE,23,01950,Barreira,22715
CE,23,02008,Barro,22834
CE,23,02057,Barroquinha,15069
CE,23,02107,Baturité,36127
CE,23,02206,Beberibe,54315
CE,23,02305,Bela Cruz,32851
CE,23,02404,Boa Viagem,54680
CE,23,02503,Brejo Santo,50195
CE,23,02602,Camocim,64147
CE,23,02701,Campos Sales,27513
CE,23,02800,Canindé,77484
CE,23,02909,Capistrano,17830
CE,23,03006,Caridade,23011
CE,23,03105,Cariré,18470
CE,23,03204,Caririaçu,27008
CE,23,03303,Cariús,18700
CE,23,03402,Carnaubal,17763
CE,23,03501,Cascavel,72706
CE,23,03600,Catarina,21041
CE,23,03659,Catunda,10410
CE,23,03709,Caucaia,368918
CE,23,03808,Cedro,25612
CE,23,03907,Chaval,13112
CE,23,03931,Choró,13608
CE,23,03956,Chorozinho,20286
CE,23,04004,Coreaú,23340
CE,23,04103,Crateús,75241
CE,23,04202,Crato,133913
CE,23,04236,Croatá,18201
CE,23,04251,Cruz,25121
CE,23,04269,Deputado Irapuan Pinheiro,9698
CE,23,04277,Ereré,7254
CE,23,04285,Eusébio,55035
CE,23,04301,Farias Brito,19330
CE,23,04350,Forquilha,24680
CE,23,04400,Fortaleza,2703391
CE,23,04459,Fortim,16776
CE,23,04509,Frecheirinha,14195
CE,23,04608,General Sampaio,7767
CE,23,04657,Graça,14415
CE,23,04707,Granja,55170
CE,23,04806,Granjeiro,4784
CE,23,04905,Groaíras,11219
CE,23,04954,Guaiúba,26508
CE,23,05001,Guaraciaba do Norte,40921
CE,23,05100,Guaramiranga,5073
CE,23,05209,Hidrolândia,20126
CE,23,05233,Horizonte,69688
CE,23,05266,Ibaretama,13385
CE,23,05308,Ibiapina,25165
